#"Step";"Potential Energy (kJ/mole)";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
2700;-322146.25947808265;1832.7446374348692;11.25640310155592;193.46717649500826;680
2800;-322134.5498833561;1857.2410730188485;11.406856005824407;193.46717649500826;679
2900;-322147.88154839515;1904.7872008289419;11.698876164888999;193.46717649500826;679
3000;-322156.2746148014;1918.2336394474005;11.781461883749179;193.46717649500826;679
3100;-321967.729937067;2109.7516273527144;12.957732504886236;193.46717649500826;678
3200;-321851.9710259342;2288.561465280538;14.05595184932068;193.46717649500826;678
3300;-321717.282671442;2381.542252161147;14.627023888736314;193.46717649500826;677
3400;-321624.864702692;2489.172353556427;15.288069504377715;193.46717649500826;677
3500;-321569.9374565983;2611.0946436168306;16.036895290552465;193.24330820530201;677
3600;-321493.7016167545;2646.3008475850656;16.253125754659408;193.24330820530201;677
3700;-321466.2608208561;2720.445452348038;16.70850919541288;193.24330820530201;677
3800;-321446.15107964515;2780.5106530000703;17.077419351855305;193.14207824538894;679
3900;-321405.2626519108;2793.7719939736126;17.158868232739383;193.14207824538894;679
4000;-321382.1957573795;2830.5228001185387;17.38458537839336;193.14207824538894;678
4100;-321231.63936089515;3060.449088500791;18.796753190979416;192.87047946174698;678
4200;-321108.2220024967;3249.7926412731467;19.959668804618527;192.87047946174698;680
4300;-320907.9922661686;3325.3600167949153;20.423790659254102;192.87047946174698;682
4400;-320857.50374077796;3479.128480568601;21.368210180222484;192.87047946174698;682
4500;-320773.8291802311;3511.1892243554175;21.565121767591915;192.74530588970717;683
4600;-320833.9823784733;3624.0886369090003;22.258530588261376;192.65323993647203;683
4700;-320812.8761773014;3699.7789308905158;22.723407386986416;192.71388675944615;685
4800;-320794.6018853092;3751.727762582028;23.042468197876566;192.71388675944615;686
4900;-320772.7404351139;3806.6492303596533;23.37978642956395;192.63957163500987;686
5000;-320768.9738335514;3844.0649244968517;23.609587203185253;192.72723499194024;687
5100;-320603.2968315983;4034.7834374918166;24.780947586596522;192.46623778932664;688
5200;-320508.5966362858;4205.043877546963;25.826657996199142;192.46623778932664;688
5300;-320352.84724663734;4308.64734883896;26.462972740633717;192.46623778932664;688
5400;-320291.5956597233;4435.477545817237;27.241942049001402;192.46623778932664;688
