#"Step";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
10;8.984162707443756;0.05732949951778938;250.04699999999997;0
20;21.494512679671793;0.1371602111884477;250.04699999999997;14.7
30;36.25623923431556;0.23135734707680466;250.04699999999997;13
40;57.52797272143739;0.36709596562186847;250.04699999999997;13.3
50;69.47406367755947;0.44332604270418025;250.04699999999997;13
60;87.7061521378543;0.5596681594522156;250.04699999999997;13.2
70;102.4756275230032;0.6539147419711794;250.04699999999997;13.3
80;119.46779364212345;0.7623446993366193;250.04699999999997;13
90;140.90749238121467;0.8991551332689762;250.04699999999997;13.2
100;153.3852151750423;0.9787776452587871;250.04699999999997;13
110;168.5462962301201;1.0755231314370481;250.04699999999997;13.2
120;175.03615709538417;1.1169360585468173;250.04699999999997;13.3
130;189.40967962213597;1.2086559972433428;249.53054645305733;13.1
140;202.51208827287908;1.2922647379668712;249.53054645305733;12.9
150;216.1192680643402;1.379094510834487;249.00057443799005;12.7
160;230.332398614661;1.4697909605276531;249.00057443799005;12.5
170;239.34815284314658;1.5273220510171681;249.00057443799005;12.5
180;252.85738268766445;1.6135267882950568;248.6697540360928;12.5
190;265.88809420078354;1.6966780171556888;248.6697540360928;12.5
200;276.78594229039567;1.7662190748082527;248.6697540360928;12.5
210;282.89292357710855;1.8051887809603546;248.6697540360928;12.5
220;289.9551815295372;1.8502542731005187;248.6697540360928;12.6
230;294.1335579776291;1.8769172174801385;248.6697540360928;12.6
240;293.39243436928695;1.8721879792716776;248.6697540360928;12.6
250;295.91250236217263;1.888268969953562;248.6697540360928;12.5
260;301.8154052596622;1.9259364165298354;248.6697540360928;12.6
270;310.3260877095979;1.9802445564531466;248.6697540360928;12.6
280;314.9225530446766;2.0095753984906124;248.6697540360928;12.6
290;324.2380097282612;2.0690189422954317;248.6697540360928;12.7
300;333.3044662848364;2.1268735731290405;247.83183328556333;12.6
310;349.20443215917925;2.2283340114145984;247.83183328556333;12.7
320;367.74145870530555;2.3466219909451658;247.83183328556333;12.7
330;387.5036925818951;2.4727282308243344;247.83183328556333;12.7
340;392.7426011168738;2.506158614279095;247.83183328556333;12.7
350;395.86425783416036;2.5260784468885493;247.61818835703286;12.7
360;401.9882309576731;2.5651565808965735;247.61818835703286;12.7
370;410.5404742668803;2.6197299278669015;247.61818835703286;12.8
380;406.3279573891627;2.5928491274880643;247.61818835703286;12.7
390;402.63444136178424;2.569280161496932;247.61818835703286;12.7
400;407.14758862993244;2.598079336507269;247.0318725109618;12.7
410;415.2504004332402;2.649784783135655;247.0318725109618;12.8
420;424.012765669228;2.705698954542529;247.0318725109618;12.8
430;429.01936291131705;2.737646919369379;247.0318725109618;12.8
440;427.83086267624964;2.7300628933591713;247.0318725109618;12.8
450;427.17609621304643;2.725884715062671;247.0318725109618;12.8
460;439.3278889358858;2.8034274107739905;247.0318725109618;12.8
470;447.6381945760843;2.856456911541792;247.0318725109618;12.8
480;447.7628467799383;2.8572523388613367;247.0318725109618;12.8
490;452.3920865799317;2.886792320440429;247.0318725109618;12.8
500;455.81037753704237;2.908605027551685;247.0318725109618;12.8
510;453.3312832992561;2.8927854975033296;247.0318725109618;12.8
