#"Step";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
5;5.424132646935148;0.03461233061921825;250.04699999999997;0
10;8.984167746320365;0.05732953167173444;250.04699999999997;13.6
15;15.52565060570461;0.09907186767395053;250.04699999999997;15.3
20;21.494498168979046;0.13716011859320207;250.04699999999997;13.5
25;27.842378431998085;0.17766704286965257;250.04699999999997;12.7
30;36.25625208372296;0.2313574290711006;250.04699999999997;13
35;46.805076431954134;0.298671305731426;250.04699999999997;13.2
40;57.527952485878146;0.36709583649525734;250.04699999999997;12.9
45;63.56107224014911;0.405594219405962;250.04699999999997;13
50;69.47403129250925;0.44332583604956133;250.04699999999997;12.6
55;78.13046170527717;0.4985640189871184;250.04699999999997;12.9
60;87.70610375520354;0.5596678507141346;250.04699999999997;12.9
65;95.4593220568574;0.6091424806112204;250.04699999999997;12.7
70;102.47562469523244;0.653914723926684;250.04699999999997;12.5
75;110.94451367873391;0.707956172496353;248.46577856446615;11.9
80;126.2408843567013;0.8055649652088762;248.46577856446615;12
85;143.64589406795707;0.9166293490965167;248.46577856446615;12
90;157.8580536285416;1.0073196027358682;248.46577856446615;12.2
95;165.85275177441264;1.0583351573761286;248.46577856446615;12.3
100;170.9261172742667;1.0907091820291401;248.46577856446615;12.2
105;178.65028634986624;1.1399984437794877;248.46577856446615;12.3
110;187.30359486278277;1.1952167053329545;248.46577856446615;12.4
115;191.61336057712032;1.222718067395018;248.46577856446615;12.4
120;193.2649343599593;1.233257045981015;248.46577856446615;12.4
125;198.2526795004164;1.2650847122795976;248.46577856446615;12.3
130;205.6816482227051;1.3124902494065294;248.46577856446615;12.3
135;210.00868721760327;1.340101835265937;248.46577856446615;12.2
140;214.87096853756952;1.3711288951785323;248.46577856446615;12.3
145;221.6624907511381;1.4144667756406972;248.46577856446615;12.3
150;228.27364366195343;1.4566536883174444;248.46577856446615;12.2
155;233.2782699230112;1.4885890759726912;248.46577856446615;12.2
160;239.33080942710697;1.5272113796731757;248.46577856446615;11.9
165;245.1371263037995;1.564262494108879;248.46577856446615;11.8
170;248.85048469300503;1.5879580776502316;248.46577856446615;11.8
175;254.19459224548172;1.622059754270456;248.46577856446615;11.8
180;262.20074744260376;1.6731484183406717;248.46577856446615;11.8
185;268.4456373237739;1.712998143138572;248.46577856446615;11.9
190;273.19933002936096;1.7433322802804643;248.46577856446615;11.9
195;278.42210945899126;1.776659741118237;248.46577856446615;11.9
200;283.1954712786209;1.8071193902862064;247.79909121023329;11.9
205;286.9547517014986;1.8311080102843769;247.79909121023329;11.9
210;291.0601692783768;1.8573053914603608;247.79909121023329;11.9
215;295.1816137621924;1.8836050431075568;247.79909121023329;11.9
220;298.02878525201146;1.9017733379022854;247.79909121023329;12
225;299.9767454397556;1.914203609512507;247.79909121023329;11.9
230;301.5852743061606;1.924467911025492;247.79909121023329;12
235;302.0012479157057;1.9271223107313284;247.79909121023329;12
240;300.49193234645026;1.917491106464722;247.79909121023329;11.9
245;300.2521847801194;1.9159612356870068;247.79909121023329;11.9
250;302.22465421551885;1.9285479050548595;247.79909121023329;11.8
255;305.8227279417019;1.9515078371784478;247.79909121023329;11.8
260;308.7671279376198;1.9702965639238237;247.79909121023329;11.8
265;311.91028289239836;1.9903535805131396;247.79909121023329;11.8
270;315.14198123149555;2.0109756077855763;247.79909121023329;11.9
275;318.1366706296272;2.030085239923457;246.70966938823133;11.9
280;324.15678479070317;2.068500631889643;246.70966938823133;11.9
285;331.3218599150097;2.1142222182255086;246.70966938823133;12
290;338.92610367934446;2.1627462157772652;246.70966938823133;12.1
295;346.4138946340091;2.210527107765017;246.70966938823133;12.1
300;352.4546006590472;2.249073899984462;246.70966938823133;12
305;358.40065882507173;2.287016727809632;246.70966938823133;12
310;364.56834536237426;2.3263738046881706;246.70966938823133;12
315;371.3604343705619;2.369715301965046;246.70966938823133;12
320;377.9044429578893;2.4114737550750673;246.70966938823133;12.1
