#"Step";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
100;266.4614365695163;1.7003366141916219;209.0095076753944;0
200;487.3113578102591;3.109618242938688;206.06101158007982;695
300;519.4322460755202;3.3145871986754885;204.83721502449364;689
400;572.5586571002918;3.6535960361604802;202.96831216916442;687
500;686.8263892594623;4.38275824181492;199.26411781109866;695
600;735.4786871970441;4.693216988164311;198.0508280321583;703
700;806.1888413041709;5.144430738158911;195.09332650892435;721
800;900.5655628216136;5.746664957074147;193.03170351002368;730
900;904.0200710936215;5.7687087731495374;190.87267404891546;738
1000;1008.1516428000159;6.433190381990186;189.97196632225058;747
1100;1132.7475336360103;7.228258358406329;189.3138443568348;746
1200;1202.3741829775172;7.672558076680793;189.1732100703566;750
1300;1261.5357993280013;8.050078605469364;187.03757654350233;751
1400;1330.6547600203448;8.49113867447264;187.03757654350233;756
1500;1315.6238144513827;8.395223605388487;185.94996622871588;758
1600;1353.2423062801909;8.635273722398583;185.0347521896658;758
1700;1324.806151732132;8.45381769120939;184.82544710185354;761
1800;1296.0415824395932;8.270265988609468;184.78810478378065;759
1900;1300.9403067663516;8.3015255976653;183.80439791668186;760
2000;1284.6712510840189;8.197709933338295;183.80439791668186;761
2100;1421.4539900537347;9.070544300118971;183.80439791668186;759
2200;1530.8597205032565;9.768681230102718;183.80439791668186;759
2300;1657.5900645286274;10.577369522298506;183.80439791668186;757
2400;1733.4756972835921;11.06160889864332;183.3182635750247;760
2500;1802.9387940311426;11.504864959466145;183.13062850344906;761
2600;1842.8239687081568;11.75937917262908;183.13062850344906;762
2700;1882.2727043378836;12.01110839258054;183.13062850344906;763
2800;1935.7798136867495;12.35254653206042;183.10550628807383;763
2900;1957.5025993595846;12.491163392786241;182.7054851395636;765
3000;1968.6330574854;12.562188775399584;182.7054851395636;763
3100;2131.037913608401;13.598522312978552;182.4531310516967;765
3200;2310.174057907898;14.741621100551455;182.4531310516967;768
3300;2419.896897911087;15.441781561563753;182.33074137429276;768
3400;2537.1283437619713;16.189855738004205;182.33074137429276;770
3500;2599.411384168008;16.587294614747382;182.33074137429276;770
3600;2676.6602470327343;17.080232998719854;182.33074137429276;770
3700;2779.997151955242;17.739643701067916;181.75297068028004;772
3800;2792.4734798395584;17.819257311898347;181.75297068028004;772
3900;2816.8457863434232;17.974781224305126;181.75297068028004;771
4000;2892.211122407687;18.455700497280272;181.49656422559855;770
4100;3057.6683181659464;19.511511543153105;181.49656422559855;769
4200;3217.5388382077363;20.53167304290541;181.49656422559855;769
4300;3339.1956248917486;21.30798608627429;181.49656422559855;769
4400;3408.9672667284904;21.753211026793313;181.49656422559855;769
4500;3511.1941612784867;22.405538560549278;181.43803649539723;769
4600;3581.1952436684805;22.85222760100898;181.43803649539723;769
4700;3648.2880482646506;23.280358416756158;181.020022353417;770
4800;3717.4948183502274;23.721978812718213;180.6892105230551;771
4900;3758.182396192031;23.98161329956127;180.6892105230551;773
5000;3782.061357271188;24.133989089298318;180.6892105230551;772
5100;3932.1532662498794;25.091751576868653;180.53236678446237;772
5200;4079.609916752155;26.032698023315007;180.55986401821053;772
5300;4239.788144231177;27.05482305756116;180.6731729368364;774
5400;4302.78339178639;27.456806651574578;180.6700109109384;775
5500;4379.35803132876;27.94544269965972;180.6700109109384;774
5600;4448.772444200469;28.388388100232117;180.6700109109384;774
5700;4541.556057113368;28.980456416998198;180.52381243511323;774
5800;4601.536086042201;29.36319937830982;180.52381243511323;774
5900;4605.1454141676;29.386231126705606;180.52381243511323;774
6000;4638.057005356735;29.59624569485717;180.52381243511323;773
6100;4835.208058865472;30.85430074073208;180.52381243511323;773
6200;5046.327330555825;32.20148940802325;180.5886833118554;773
